loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z)
2017-12-04 17:02:37.696 -0800,1,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57761.89207316667,0.129974365234375,-0.989044189453125,-0.138641357421875,57761.86564716667,0.05172311574319194,0.05285256236149455,-0.009027849779259609,57761.87445616667,-0.7684550749551251,0.8147986601628232,1.392965745424248,0.04849586263298988,0.06014733761548996,0.005131978541612625,-0.002332195639610291,-0.001640617847442627,0.01171720027923584,XArbitraryCorrectedZVertical,0.6600030660629272,0.06099320948123932,-0.02835568785667419,0.7482455968856812,0.1287054866552353,-0.9842297434806824,-0.1213515624403954,14.84472274780273,-63.17073059082031,-15.43548583984375,2
2017-12-04 17:02:37.711 -0800,2,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57761.92599916667,0.13671875,-0.9830169677734375,-0.1278228759765625,57761.89838216667,-0.0447107462769043,0.01086836040861337,0.005529521371331522,57761.90969116667,-0.7652129793136749,0.8129089776648037,1.392971373794002,-0.04465613886713982,0.002796292537823319,0.01759022101759911,0.0112212598323822,-0.006552934646606445,-0.01296025514602661,XArbitraryCorrectedZVertical,0.6598785519599915,0.06135492026805878,-0.02776516601443291,0.7483481764793396,0.1284729540348053,-0.9842307567596436,-0.1215917393565178,14.68962860107422,-63.38824462890625,-15.75086212158203,2
2017-12-04 17:02:37.738 -0800,3,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57761.95873416667,0.1173095703125,-0.9818267822265625,-0.10821533203125,57761.93230816667,-0.009230250022105632,-0.05274124222792923,-0.0008218515123984529,57761.94486716667,-0.760067200527743,0.8067015558109549,1.392831877296177,0.01414924301207066,-0.05087126791477203,0.01108701061457396,0.005471169948577881,0.002623438835144043,0.003767967224121094,XArbitraryCorrectedZVertical,0.6595961451530457,0.06076373904943466,-0.02792169339954853,0.7486394047737122,0.1278143376111984,-0.9842060804367065,-0.1224813833832741,14.93141555786133,-63.35494232177734,-15.40793991088867,2
2017-12-04 17:02:37.768 -0800,4,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57761.99266016667,0.1233978271484375,-0.9864349365234375,-0.1257476806640625,57761.96623416667,0.00623659064074756,0.02417670900795734,0.003091663709472987,57761.98010116667,-0.7605618269375197,0.807341790523889,1.393439102140272,0.0008801012299954891,0.03146404772996902,0.01833052560687065,-0.01344744861125946,-0.001968979835510254,-0.003105103969573975,XArbitraryCorrectedZVertical,0.6597905158996582,0.0606897696852684,-0.02774431370198727,0.7484807372093201,0.1274611204862595,-0.9843133687973022,-0.1219864562153816,14.67641830444336,-63.11624145507812,-15.54150009155273,2
2017-12-04 17:02:37.799 -0800,5,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.02658616667,0.140655517578125,-0.9837188720703125,-0.12896728515625,57761.99896916667,-0.009786318057714176,0.03731461529753624,0.006332198123881405,57762.01527716667,-0.7577028668613022,0.8058072795331671,1.393675332093671,0.002930157352238894,0.04026095569133759,0.01185875758528709,0.007934689521789551,-0.001606881618499756,-0.004368126392364502,XArbitraryCorrectedZVertical,0.6597490310668945,0.06099996343255043,-0.02712155133485794,0.7485148310661316,0.1271055936813354,-0.9843550324440002,-0.1220204383134842,14.78572082519531,-63.37279510498047,-15.49228668212891,2
2017-12-04 17:02:37.845 -0800,6,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.05932116667,0.1268157958984375,-0.981842041015625,-0.12451171875,57762.03289516667,-0.005444033900339979,0.01207317448576522,-0.01074079499239858,57762.05051216667,-0.7579609844918727,0.8066453096584181,1.393708307856333,-0.009610628709197044,-0.006988413631916046,-0.007193104363977909,0.002271071076393127,0.002793490886688232,-0.007716655731201172,XArbitraryCorrectedZVertical,0.6597774624824524,0.06122032925486565,-0.02693353779613972,0.7484785914421082,0.1271844953298569,-0.9843608736991882,-0.1218915432691574,14.69054794311523,-63.06922912597656,-15.66939163208008,2
2017-12-04 17:02:37.869 -0800,7,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.09324616667,0.1244964599609375,-0.9876861572265625,-0.121551513671875,57762.06682116667,-0.01286626385839082,0.00875966945748863,-0.01069259177666814,57762.08568816667,-0.7573021771225453,0.8062506420561214,1.393531534219327,0.009386968798935413,0.02270852960646152,0.003321075811982155,-8.094310760498047e-05,-0.003066539764404297,0.008263111114501953,XArbitraryCorrectedZVertical,0.6597018837928772,0.06133400276303291,-0.0268615297973156,0.7485386729240417,0.1272629499435425,-0.9843297004699707,-0.1220631301403046,14.65836334228516,-63.16893005371094,-15.28768920898438,2
2017-12-04 17:02:37.899 -0800,8,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.12717216667,0.1277618408203125,-0.9835205078125,-0.1290130615234375,57762.09955516667,0.00416252078379385,0.01538561424960577,0.002063949844811409,57762.08568816667,-0.7573021771225453,0.8062506420561214,1.393531534219327,0.009386968798935413,0.02270852960646152,0.003321075811982155,-8.094310760498047e-05,-0.003066539764404297,0.008263111114501953,XArbitraryCorrectedZVertical,0.6597018837928772,0.06133400276303291,-0.0268615297973156,0.7485386729240417,0.1272629499435425,-0.9843297004699707,-0.1220631301403046,14.65836334228516,-63.16893005371094,-15.28768920898438,2
2017-12-04 17:02:37.940 -0800,9,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.15990716667,0.12567138671875,-0.9825439453125,-0.11956787109375,57762.13348116667,-0.02866866281859399,-0.008856608521167514,-0.003045058390396601,57762.15609816667,-0.753234714320144,0.8026535601743798,1.393499282220504,0.0009641146752983332,0.008409071713685989,0.002343218773603439,0.002335891127586365,0.002527773380279541,0.004133164882659912,XArbitraryCorrectedZVertical,0.6595203876495361,0.06133672222495079,-0.02653306350111961,0.7487099170684814,0.1268450170755386,-0.9843239784240723,-0.1225413307547569,14.63108444213867,-63.20449829101562,-15.54829788208008,2
2017-12-04 17:02:37.970 -0800,10,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.19383316667,0.127044677734375,-0.9822998046875,-0.1273193359375,57762.16740716667,0.01040869880446569,0.02858637114091054,-0.008736766272113949,57762.15609816667,-0.753234714320144,0.8026535601743798,1.393499282220504,0.0009641146752983332,0.008409071713685989,0.002343218773603439,0.002335891127586365,0.002527773380279541,0.004133164882659912,XArbitraryCorrectedZVertical,0.6595203876495361,0.06133672222495079,-0.02653306350111961,0.7487099170684814,0.1268450170755386,-0.9843239784240723,-0.1225413307547569,14.63108444213867,-63.20449829101562,-15.54829788208008,2
2017-12-04 17:02:38.014 -0800,11,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.22775916667,0.12396240234375,-0.986541748046875,-0.131134033203125,57762.20014216667,0.005177984107441063,0.01758858110331932,-0.005453088648046248,57762.19133316667,-0.7548134502117769,0.8051444400098496,1.393858006012433,0.01258187554776669,0.0216192714869976,0.002239201217889786,-0.0005680769681930542,0.002713024616241455,-0.005155682563781738,XArbitraryCorrectedZVertical,0.6597027778625488,0.0616600327193737,-0.02621356956660748,0.7485339641571045,0.1268955916166306,-0.984387218952179,-0.1219805702567101,14.69268417358398,-63.46409606933594,-15.46261596679688,2
2017-12-04 17:02:38.040 -0800,12,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.26049416667,0.1278076171875,-0.9859619140625,-0.1273345947265625,57762.23406816667,-0.001020257013609356,-7.456851052221867e-06,0.009652361054883192,57762.22650916667,-0.7551388279738769,0.8060507179964953,1.394148908902439,0.005239203106611967,0.01061307638883591,0.009818876162171364,0.0005667656660079956,-0.00166088342666626,-0.005317449569702148,XArbitraryCorrectedZVertical,0.6598069667816162,0.06181966885924339,-0.02596368081867695,0.7484374642372131,0.1267983466386795,-0.9844383597373962,-0.1216661930084229,14.68921661376953,-63.19457244873047,-15.31973648071289,2
2017-12-04 17:02:38.095 -0800,13,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.29441916667,0.1219940185546875,-0.9794464111328125,-0.122894287109375,57762.26799416667,-0.0009651295790447159,-0.001111070806781058,0.02037584550019625,57762.26174416667,-0.7526250653600473,0.8036563618367596,1.394769251571881,0.003282028948888183,-0.002578770974650979,0.02703366428613663,0.001741111278533936,-0.001414716243743896,-0.005789518356323242,XArbitraryCorrectedZVertical,0.6598734259605408,0.06159979104995728,-0.02565872110426426,0.7484074234962463,0.1260664910078049,-0.9845471978187561,-0.1215450540184975,14.56496047973633,-63.27263641357422,-15.40776062011719,2
2017-12-04 17:02:38.101 -0800,14,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.32834516667,0.12432861328125,-0.9810943603515625,-0.1223297119140625,57762.30072816667,-0.0178668814372326,-0.00445866429701066,0.04083611320694801,57762.29691916667,-0.7476561440287439,0.7988746245628847,1.395519254608579,-0.01053345203399658,0.003970285411924124,0.03886466473340988,-0.001724928617477417,0.002973556518554688,-0.000301361083984375,XArbitraryCorrectedZVertical,0.6598717570304871,0.06126552447676659,-0.02519146725535393,0.7484522461891174,0.124954916536808,-0.9846782684326172,-0.1216315999627113,14.60392379760742,-63.17193603515625,-15.17203903198242,2
2017-12-04 17:02:38.141 -0800,15,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.36108016667,0.1265106201171875,-0.9858245849609375,-0.11700439453125,57762.33465416667,-0.0221084981054018,-0.001178182466251055,0.04834702642929849,57762.33215416667,-0.7368898640966398,0.7882995625018312,1.396603623321205,-0.01786881685256958,0.005037274211645126,0.0646221935749054,0.001682497560977936,0.004733741283416748,0.0003224611282348633,XArbitraryCorrectedZVertical,0.6597204208374023,0.06059517338871956,-0.02438479103147984,0.7486671209335327,0.1229055151343346,-0.9848667979240417,-0.1221943795681,14.46562194824219,-63.03656768798828,-15.31546401977539,2
2017-12-04 17:02:38.171 -0800,16,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.39500616667,0.1276702880859375,-0.9896697998046875,-0.1257781982421875,57762.36858016667,-0.03709437187538669,-0.008886968557594417,0.01521810141703979,57762.36733016667,-0.7276107319929904,0.7790459411377982,1.397038462975962,-0.03179732710123062,-0.003765286412090063,0.0282771922647953,0.005042165517807007,-0.000882565975189209,0.006017148494720459,XArbitraryCorrectedZVertical,0.6594535112380981,0.06008575111627579,-0.02385671064257622,0.7489602565765381,0.1214684620499611,-0.9849420189857483,-0.1230215355753899,14.45259094238281,-63.20249938964844,-15.76826858520508,2
2017-12-04 17:02:38.201 -0800,17,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.42893216667,0.126800537109375,-0.9912872314453125,-0.1175079345703125,57762.40131516667,-0.03071397053577484,-0.01326094433194056,0.008773251579048034,57762.40256516667,-0.7190026467154015,0.7703728030631216,1.396812318239604,-0.03289477527141571,-0.004862607456743717,0.01970992423593998,0.009192802011966705,-0.00403439998626709,-0.001303136348724365,XArbitraryCorrectedZVertical,0.6590273380279541,0.05972860008478165,-0.023545753210783,0.7493737936019897,0.1205526888370514,-0.9849029183387756,-0.1242309212684631,14.20705032348633,-63.1265869140625,-15.66818618774414,2
2017-12-04 17:02:38.249 -0800,18,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.46166616667,0.1204681396484375,-0.9837188720703125,-0.132110595703125,57762.43524116667,-0.0201926200171988,-0.005539375067364815,-0.005242166289711973,57762.43774116667,-0.717406656697789,0.7683410033574716,1.39674948433943,-0.01384101063013077,-0.0004153805784881115,0.006738249678164721,0.006045490503311157,-0.006730914115905762,0.00701218843460083,XArbitraryCorrectedZVertical,0.6589375734329224,0.0595080703496933,-0.0236322209239006,0.7494675517082214,0.1203430518507957,-0.9848920702934265,-0.1245201304554939,14.23996353149414,-63.30967712402344,-15.55756378173828,2
2017-12-04 17:02:38.272 -0800,19,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.49559187501,0.107757568359375,-0.9879608154296875,-0.1226959228515625,57762.46916616667,0.05663105531609897,-0.05586086912884805,-0.02148931315195838,57762.472974875,-0.7173939238578867,0.7670165840570314,1.396763903291743,0.05238539353013039,-0.05515649542212486,-0.008368001319468021,0.0001013278961181641,-0.0008995532989501953,0.0007222890853881836,XArbitraryCorrectedZVertical,0.658925473690033,0.05901261419057846,-0.0240604542195797,0.7495037913322449,0.1201684474945068,-0.9848945140838623,-0.1246694624423981,14.12731170654297,-63.16134643554688,-15.71916961669922,2
2017-12-04 17:02:38.302 -0800,20,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.529517875,0.1339111328125,-0.98919677734375,-0.13916015625,57762.501900875,-0.0596199210074949,0.03607571275843138,0.03766002729091952,57762.508150875,-0.7177513329348946,0.7676712460032051,1.39771245813366,-0.06279614567756653,0.03348923474550247,0.04757281392812729,-0.01634463667869568,-0.0001558661460876465,-0.00831449031829834,XArbitraryCorrectedZVertical,0.6592192053794861,0.05891485884785652,-0.02375190518796444,0.7492629289627075,0.1196008622646332,-0.9850583672523499,-0.1239181607961655,14.27072525024414,-63.08008575439453,-15.68068313598633,2
2017-12-04 17:02:38.342 -0800,21,BF2B89E4-20AD-4334-A98B-17808832B17C,1512435753.438332,49.277192956445,-122.9073890059268,343.3391,-1,-1,10,65,-9999,57762.562252875,0.1210784912109375,-0.9970703125,-0.1444091796875,57762.53582687501,-0.05030737930770582,-0.1000810611329598,0.01885331630499795,57762.543385875,-0.7017118565598408,0.7499468991243914,1.39661461166831,-0.04288986325263977,-0.0982455313205719,0.02548389881849289,0.01415766775608063,-0.01015692949295044,-0.009606122970581055,XArbitraryCorrectedZVertical,0.6582204699516296,0.05781085044145584,-0.02383600361645222,0.7502232789993286,0.1181207820773125,-0.9848687052726746,-0.1268074363470078,14.08671569824219,-63.10769653320312,-15.79961013793945,2
