loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z)
2017-12-05 15:37:31.177 -0800,1,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.69422025,-0.117706298828125,-0.980743408203125,-0.09619140625,156842.67218625,-0.06540563847569204,-0.1270631440332066,-0.07383454332579283,156842.68317325,-0.757595261367857,-0.8405087820745248,1.404404495248804,0.07145890593528748,-0.06134878471493721,-0.02749391086399555,-0.01147851347923279,0.05051982402801514,0.03072309494018555,XArbitraryCorrectedZVertical,0.4327091872692108,-0.5074816346168518,-0.5026125311851501,0.5500871539115906,-0.1233481392264366,-0.9861887693405151,-0.1104502975940704,-6.917261123657227,-52.87722396850586,-20.1790771484375,2
2017-12-05 15:37:31.206 -0800,2,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.72428025,-0.1283721923828125,-0.9998016357421875,-0.120025634765625,156842.70224625,0.3771214535345236,0.3216997396694297,0.00880973688598212,156842.71826825,-0.7004115301254361,-0.8886247020864391,1.411574202455279,0.3590200543403625,0.4684199094772339,0.03546404838562012,-0.01827409863471985,-0.0356287956237793,-0.02791213989257812,XArbitraryCorrectedZVertical,0.4378632307052612,-0.5082448124885559,-0.4976802468299866,0.549788236618042,-0.1230222806334496,-0.9873509407043457,-0.09992600232362747,-6.646945953369141,-53.12178421020508,-19.50079345703125,2
2017-12-05 15:37:31.216 -0800,3,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.75434025,-0.09710693359375,-0.9633331298828125,-0.114471435546875,156842.73230625,0.2594060049274952,0.5086784155911299,0.02303794132583946,156842.75330225,-0.6534260624628137,-0.9190407850996993,1.416259538579207,0.1188877001404762,0.3088034987449646,-0.005518481135368347,0.02568826079368591,0.0250091552734375,-0.02155429124832153,XArbitraryCorrectedZVertical,0.4439882636070251,-0.5061717629432678,-0.4917220771312714,0.5521444082260132,-0.1223221570253372,-0.9880829453468323,-0.09332913905382156,-6.553667068481445,-53.38120269775391,-19.42593383789062,2
2017-12-05 15:37:31.246 -0800,4,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.78439925,-0.1204986572265625,-0.929840087890625,-0.095916748046875,156842.76236625,-0.03145912300877902,0.1178368887527361,0.003956924747639732,156842.75330225,-0.6534260624628137,-0.9190407850996993,1.416259538579207,0.1188877001404762,0.3088034987449646,-0.005518481135368347,0.02568826079368591,0.0250091552734375,-0.02155429124832153,XArbitraryCorrectedZVertical,0.4439882636070251,-0.5061717629432678,-0.4917220771312714,0.5521444082260132,-0.1223221570253372,-0.9880829453468323,-0.09332913905382156,-6.553667068481445,-53.38120269775391,-19.42593383789062,2
2017-12-05 15:37:31.286 -0800,5,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.814471375,-0.1084136962890625,-0.9727630615234375,-0.10137939453125,156842.79242625,-0.1220987454451899,0.01287505228998808,0.08285573520232724,156842.78839725,-0.6563714163986104,-0.9132210201859137,1.41434380138323,-0.1138271391391754,0.003613806329667568,0.08197073638439178,0.003020733594894409,0.05738162994384766,-0.00149846076965332,XArbitraryCorrectedZVertical,0.4439667761325836,-0.5052675008773804,-0.4911189675331116,0.553524911403656,-0.1232752874493599,-0.9877862334251404,-0.09519650787115097,-6.406425476074219,-53.33459854125977,-19.30929565429688,2
2017-12-05 15:37:31.306 -0800,6,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.844531375,-0.1298370361328125,-1.007110595703125,-0.1126251220703125,156842.822497375,-0.04685752043161717,0.002232261625704418,-0.004051200650228537,156842.823474375,-0.6613077364280479,-0.9078481871665853,1.410909085814783,-0.03568067401647568,-0.0006957207806408405,0.01214904524385929,0.014320969581604,0.00134432315826416,-0.008958101272583008,XArbitraryCorrectedZVertical,0.4427704513072968,-0.5049572587013245,-0.4910759627819061,0.5548027157783508,-0.125435471534729,-0.9872452616691589,-0.09794498980045319,-6.503015518188477,-53.33752059936523,-19.65707397460938,2
2017-12-05 15:37:31.364 -0800,7,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.874591375,-0.132965087890625,-1.008575439453125,-0.0936279296875,156842.852557375,-0.1087461883717506,-0.1386862442947484,-0.0427581165656582,156842.858569375,-0.6766374693984549,-0.8950311915881132,1.410072212140766,-0.09734409302473068,-0.1521929353475571,-0.04146642610430717,0.00147777795791626,-0.01778638362884521,-0.01296031475067139,XArbitraryCorrectedZVertical,0.4417422413825989,-0.5048099160194397,-0.492442399263382,0.5545451641082764,-0.1248145774006844,-0.9871116876602173,-0.1000614836812019,-6.701129913330078,-53.37422943115234,-19.7569580078125,2
2017-12-05 15:37:31.366 -0800,8,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.904651375,-0.1243896484375,-1.002059936523438,-0.088836669921875,156842.882617375,-0.04606336579455554,-0.1154288584950864,-0.07770305112524194,156842.893603375,-0.6958789580900937,-0.8813677014901834,1.410607937255618,-0.0154907088726759,-0.1024604290723801,-0.06748367100954056,-0.01755210757255554,-0.02188169956207275,0.00738072395324707,XArbitraryCorrectedZVertical,0.4404540956020355,-0.5052621960639954,-0.4947872757911682,0.5530685782432556,-0.1230271235108376,-0.9871972799301147,-0.1014206036925316,-6.695083618164062,-53.32507705688477,-19.8773193359375,2
2017-12-05 15:37:31.396 -0800,9,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.934711375,-0.1109161376953125,-0.9814453125,-0.098236083984375,156842.912677375,-0.001657817778574326,-0.07313732775241008,-0.04487479700005318,156842.928699375,-0.7019760258823857,-0.8784178655494486,1.411932467799998,-0.02457795105874538,-0.1141820698976517,-0.04109876975417137,0.008574455976486206,0.008892059326171875,0.007028341293334961,XArbitraryCorrectedZVertical,0.4401346445083618,-0.5057750344276428,-0.4958921074867249,0.551862895488739,-0.1217183545231819,-0.9874076247215271,-0.1009462177753448,-6.507778167724609,-53.33182525634766,-19.76559448242188,2
2017-12-05 15:37:31.451 -0800,10,C4D50155-580C-4885-BACB-A13DEF47355A,1512517045.454944,49.27717028130198,-122.9074832313209,342.6433,-1,-1,10,65,-9999,156842.964770375,-0.1136474609375,-0.9928436279296875,-0.0879364013671875,156842.942737375,-0.1037357170968755,-0.1726615219014343,-0.03530286341009038,156842.963763375,-0.7215010562637333,-0.8657107304642053,1.410921949647949,-0.1053581237792969,-0.252979040145874,-0.04079554602503777,0.00686761736869812,-0.005458950996398926,0.01450896263122559,XArbitraryCorrectedZVertical,0.4379768073558807,-0.5065671801567078,-0.4984348118305206,0.5505609512329102,-0.1211864426732063,-0.9872472882270813,-0.1031320169568062,-6.72490119934082,-53.30281066894531,-19.81204223632812,2
