loggingTime(txt),loggingSample(N),identifierForVendor(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z)
2017-12-05 15:37:28.197 -0800,1,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105580.8901592917,3.0517578125e-05,-1.001434326171875,0.02703857421875,105580.8863512917,-0.01666925789502397,-0.04837046224689119,0.006699980670421347,105580.8851012917,1.54328816145111,3.071076080038256,1.548107204392083,-0.01592697575688362,-0.04002709314227104,0.01126332022249699,0.006625980138778687,-0.004712939262390137,0.004300951957702637,XArbitraryCorrectedZVertical,-0.4806654453277588,0.5294111371040344,0.5183133482933044,-0.4690797924995422,0.001598500064574182,-0.9997426271438599,0.02263084426522255,-1.44586181640625,-57.38471984863281,-16.95407485961914,2
2017-12-05 15:37:28.217 -0800,2,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105580.9240842917,-0.00537109375,-0.996612548828125,0.0216522216796875,105580.9190842917,-0.01751454522501512,-0.07144462256355573,0.02180143563171567,105580.8851012917,1.54328816145111,3.071076080038256,1.548107204392083,-0.01592697575688362,-0.04002709314227104,0.01126332022249699,0.006625980138778687,-0.004712939262390137,0.004300951957702637,XArbitraryCorrectedZVertical,-0.4806654453277588,0.5294111371040344,0.5183133482933044,-0.4690797924995422,0.001598500064574182,-0.9997426271438599,0.02263084426522255,-1.44586181640625,-57.38471984863281,-16.95407485961914,2
2017-12-05 15:37:28.247 -0800,3,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105580.9580092917,0.0030670166015625,-0.99517822265625,0.0167083740234375,105580.9530092917,-0.01353178781480162,-0.05055159117966608,-0.008313589974900358,105580.9203342917,1.506168087118114,3.106439822105756,1.548561598527433,-0.009268366731703281,-0.0696745440363884,0.03064181283116341,-0.00781559944152832,0.00349128246307373,-0.0003817081451416016,XArbitraryCorrectedZVertical,-0.4798897206783295,0.5299192070960999,0.5186405181884766,-0.4689386487007141,0.0007813129923306406,-0.9997528195381165,0.02221702039241791,-1.7012939453125,-57.25708770751953,-16.93545532226562,2
2017-12-05 15:37:28.287 -0800,4,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105580.9907432917,0.004241943359375,-1.00238037109375,0.0198211669921875,105580.9869342917,-0.005168396727516777,-0.01978462373819866,0.004389688424777608,105580.9555092917,1.478173947872806,3.132893778150511,1.549025787559132,-0.009528880938887596,-0.04659822583198547,0.005898382980376482,0.005242735147476196,0.006324291229248047,0.002899885177612305,XArbitraryCorrectedZVertical,-0.4792202413082123,0.5303156971931458,0.5189807415008545,-0.468798816204071,0.0001894102315418422,-0.999763011932373,0.02177355624735355,-1.545143127441406,-57.37149810791016,-17.03937149047852,2
2017-12-05 15:37:28.332 -0800,5,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105581.0246682917,0.011505126953125,-1.007171630859375,0.0261688232421875,105581.0196682917,-0.007309578243940485,-0.02198332953416808,-0.002023203480133197,105580.9907432917,1.471795714733628,3.138641791544733,1.549095439975656,-0.001142819412052631,-0.02241889387369156,0.01433907728642225,0.004177898168563843,-0.002615809440612793,-0.001879096031188965,XArbitraryCorrectedZVertical,-0.4790041744709015,0.5304763317108154,0.5191171169281006,-0.4686867892742157,6.403470615623519e-05,-0.9997645616531372,0.02170027606189251,-1.555934906005859,-57.34377288818359,-17.21982574462891,2
2017-12-05 15:37:28.348 -0800,6,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105581.0585932917,-0.0049896240234375,-0.9994354248046875,0.02386474609375,105581.0535932917,-0.009481918745118119,-0.0121061976832822,0.002236256367339536,105581.0259182917,1.445123172098492,-3.117895073246201,1.549249520799032,-0.00225581182166934,-0.01912347413599491,0.007900083437561989,0.01357206702232361,-0.005496382713317871,0.004034519195556641,XArbitraryCorrectedZVertical,-0.4788095057010651,0.5305761694908142,0.5190290808677673,-0.4688701331615448,-0.0005105231539346278,-0.9997678995132446,0.0215392280369997,-1.561779022216797,-57.24263000488281,-17.19644546508789,2
2017-12-05 15:37:28.387 -0800,7,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105581.0913272917,-0.0036773681640625,-1.000274658203125,0.020355224609375,105581.0875182917,-0.0148756189008556,-0.007721036632357728,-0.008474711220850152,105581.0611512917,1.435807397433716,-3.108928903250072,1.54949957203531,-0.005495990626513958,-0.01034629344940186,0.01002430077642202,-0.003836572170257568,-0.0005471706390380859,0.002586483955383301,XArbitraryCorrectedZVertical,-0.4786084890365601,0.5306345820426941,0.5191351771354675,-0.4688916802406311,-0.0006952760741114616,-0.9997732043266296,0.02127829007804394,-1.717681884765625,-57.32571411132812,-17.09646987915039,2
2017-12-05 15:37:28.418 -0800,8,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105581.1252522917,-0.0006103515625,-0.9994964599609375,0.01666259765625,105581.1202522917,-0.007494135307482976,-0.001110538174563042,-0.01282338696484054,105581.0963272917,1.438154686617182,-3.111280816005553,1.549739948630714,-0.008781136944890022,-0.003758667968213558,-0.001776904799044132,-0.003039777278900146,-0.0004962682723999023,-0.0006729364395141602,XArbitraryCorrectedZVertical,-0.4785666465759277,0.530554473400116,0.5192136168479919,-0.4689379334449768,-0.0006375977536663413,-0.9997783303260803,0.02102816849946976,-1.700588226318359,-57.17427062988281,-17.37585258483887,2
2017-12-05 15:37:28.448 -0800,9,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105581.1591772917,0.002044677734375,-1.001495361328125,0.020599365234375,105581.1541772917,-0.003307646073878414,0.01207743554350934,-0.008607070327027089,105581.1315602917,1.449134622007096,-3.122048784806407,1.549881530075912,-0.002469704952090979,0.00723959319293499,-0.0007786015048623085,0.003658592700958252,-0.002217650413513184,-0.0009243488311767578,XArbitraryCorrectedZVertical,-0.4786511063575745,0.5304169654846191,0.5192540287971497,-0.4689626693725586,-0.0004084813117515296,-0.9997813105583191,0.02089807763695717,-1.732139587402344,-57.33441925048828,-16.96273040771484,2
2017-12-05 15:37:28.488 -0800,10,BF2B89E4-20AD-4334-A98B-17808832B17C,1512517047.465873,49.27716982572304,-122.9074165639976,343.0205,-1,-1,10,65,-9999,105581.1919102917,-0.0027618408203125,-1.001190185546875,0.0215301513671875,105581.1881022917,-0.01265294465507547,-0.01870124980675443,-0.003082608961766718,105581.1667352917,1.445077506675674,-3.117503260589884,1.549851679816974,-0.002507520373910666,0.01492594555020332,0.002406698185950518,0.002136647701263428,-0.002294540405273438,0.0005521774291992188,XArbitraryCorrectedZVertical,-0.4787622094154358,0.5303255915641785,0.5191097855567932,-0.4691120684146881,-0.0005039746756665409,-0.9997806549072266,0.02091697230935097,-2.010417938232422,-57.21488952636719,-16.14645385742188,2
