qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.10371637344360352,0.18175268173217773,0.17928814888000488,0.19373822212219238,0.186448335647583,0.22411656379699707,0.13684678077697754
0.10140466690063477,0.1747589111328125,0.17345333099365234,0.1794114112854004,0.1857590675354004,0.23007512092590332,0.1409130096435547
0.10306358337402344,0.1895756721496582,0.18476319313049316,0.19458293914794922,0.18596744537353516,0.2230513095855713,0.1400620937347412
0.1057133674621582,0.19012784957885742,0.18287372589111328,0.17762517929077148,0.18395256996154785,0.22114849090576172,0.13440942764282227
0.10312461853027344,0.20143818855285645,0.18199372291564941,0.18998169898986816,0.17920231819152832,0.21346068382263184,0.13074088096618652
0.09898567199707031,0.17743921279907227,0.1787869930267334,0.1821892261505127,0.1814742088317871,0.2148299217224121,0.13520598411560059
0.0977935791015625,0.1796720027923584,0.17602205276489258,0.17192864418029785,0.17546510696411133,0.21246719360351562,0.1321849822998047
0.10072064399719238,0.18082833290100098,0.1772174835205078,0.17483162879943848,0.18640804290771484,0.212754487991333,0.13149333000183105
0.10021090507507324,0.19040322303771973,0.17745161056518555,0.17822027206420898,0.1767723560333252,0.212723970413208,0.13037347793579102
0.09899067878723145,0.17572283744812012,0.17872357368469238,0.18117809295654297,0.17778348922729492,0.21305489540100098,0.131941556930542
0.09953784942626953,0.18204355239868164,0.18517589569091797,0.18307924270629883,0.17882585525512695,0.21977686882019043,0.1404104232788086
0.10255956649780273,0.1877598762512207,0.19214773178100586,0.1865675449371338,0.17691373825073242,0.21561741828918457,0.14250731468200684
0.10500526428222656,0.17920279502868652,0.17688560485839844,0.17396974563598633,0.17805862426757812,0.23236632347106934,0.1360633373260498
0.10373187065124512,0.18896865844726562,0.18798327445983887,0.17997360229492188,0.1944749355316162,0.22455787658691406,0.13921570777893066
0.1166236400604248,0.17870068550109863,0.1777181625366211,0.17519640922546387,0.17557024955749512,0.21731805801391602,0.13685846328735352
0.10112452507019043,0.17888998985290527,0.18939781188964844,0.18300962448120117,0.18666696548461914,0.2169795036315918,0.13531112670898438
